Sector,Obs,Alpha_Weekly,Beta,Alpha_Annualized_(log_approx)
Basic Materials,626,-0.00013785982223217812,0.9983113308101055,-0.007168710756073262
Communication Services,626,0.0009574854221695082,1.1281460438630797,0.04978924195281443
Consumer Cyclical,626,0.000564267744363447,1.24284500336269,0.029341922706899243
Consumer Defensive,626,0.0005767483116530563,0.5189015504520215,0.02999091220595893
Energy,626,-0.0011658877321298357,1.1215245947089896,-0.06062616207075146
Financial Services,626,0.00041476995639665604,1.0602879035399446,0.021568037732626114
Healthcare,626,0.0010634875998647556,0.6909718240139762,0.05530135519296729
Industrials,626,0.00044405932551047763,0.972029638329526,0.02309108492654484
Real Estate,626,4.953204218217477e-05,0.8415968612589658,0.002575666193473088
Technology,626,0.0023473732572029896,1.2976981343387444,0.12206340937455545
Utilities,626,0.0008638017365296486,0.505178913596059,0.04491769029954173
