Date,Sector,Sector_Log_Return
2014-01-10,Basic Materials,0.006046353733714309
2014-01-10,Communication Services,-0.002735932538737138
2014-01-10,Consumer Cyclical,0.010202040922547513
2014-01-10,Consumer Defensive,-0.003653118686243643
2014-01-10,Energy,-0.012051115187157806
2014-01-10,Financial Services,-0.004015277863968198
2014-01-10,Healthcare,0.022750149491105248
2014-01-10,Industrials,0.008649797803853596
2014-01-10,Real Estate,0.008648800933420844
2014-01-10,Technology,0.009297083575188481
2014-01-10,Utilities,0.004691373707132918
2014-01-17,Basic Materials,0.011413059506342563
2014-01-17,Communication Services,0.008860756563601026
2014-01-17,Consumer Cyclical,0.0118233296160294
2014-01-17,Consumer Defensive,-0.006157269482961411
2014-01-17,Energy,0.008119088589911932
2014-01-17,Financial Services,0.007892461937445723
2014-01-17,Healthcare,0.01064956977854111
2014-01-17,Industrials,0.0019528069649224935
2014-01-17,Real Estate,0.011152597527003991
2014-01-17,Technology,0.007648447142578179
2014-01-17,Utilities,0.01346818562409618
2014-01-24,Basic Materials,-0.0353459551465448
2014-01-24,Communication Services,-0.014001076200135508
2014-01-24,Consumer Cyclical,-0.01574872503444569
2014-01-24,Consumer Defensive,-0.016214967123972863
2014-01-24,Energy,-0.019381027644507207
2014-01-24,Financial Services,-0.03883636684549158
2014-01-24,Healthcare,-0.028781873231719934
2014-01-24,Industrials,-0.024958690116470682
2014-01-24,Real Estate,-0.007318493866314628
2014-01-24,Technology,-0.03370239917658989
2014-01-24,Utilities,-0.005802884739038385
2014-01-31,Basic Materials,-0.043826318518222225
2014-01-31,Communication Services,0.027937051697527002
2014-01-31,Consumer Cyclical,-0.03612009867070108
2014-01-31,Consumer Defensive,-0.03482556594343843
2014-01-31,Energy,-0.02010846669670777
2014-01-31,Financial Services,-0.026969281188358344
2014-01-31,Healthcare,-0.014808218267024222
2014-01-31,Industrials,-0.0228710005921876
2014-01-31,Real Estate,0.00767925783327605
2014-01-31,Technology,-0.008038380626819275
2014-01-31,Utilities,0.007859017710279474
2014-02-07,Basic Materials,0.05100069857678767
2014-02-07,Communication Services,0.04124876516294979
2014-02-07,Consumer Cyclical,0.049029589105207695
2014-02-07,Consumer Defensive,0.03161359826848499
2014-02-07,Energy,0.02977724800592232
2014-02-07,Financial Services,0.036180030079367966
2014-02-07,Healthcare,0.036500514107963865
2014-02-07,Industrials,0.030999980043447988
2014-02-07,Real Estate,0.026633231080071353
2014-02-07,Technology,0.04280340921827184
2014-02-07,Utilities,0.01914668355577306
2014-02-14,Basic Materials,0.027049083067371922
2014-02-14,Communication Services,0.0177430381120652
2014-02-14,Consumer Cyclical,0.012658370610527856
2014-02-14,Consumer Defensive,-0.0016853546063995103
2014-02-14,Energy,0.0168870259338494
2014-02-14,Financial Services,0.007203156740229696
2014-02-14,Healthcare,0.01752256929618753
2014-02-14,Industrials,0.012727054261253786
2014-02-14,Real Estate,0.013740187667251845
2014-02-14,Technology,0.026075333557657787
2014-02-14,Utilities,0.018747717145559534
2014-02-21,Basic Materials,-0.002802183853749465
2014-02-21,Communication Services,0.012191435046897042
2014-02-21,Consumer Cyclical,0.045258378552602826
2014-02-21,Consumer Defensive,0.001889261753667112
2014-02-21,Energy,0.018441618003248478
2014-02-21,Financial Services,-0.004607842279077448
2014-02-21,Healthcare,0.008831656510389734
2014-02-21,Industrials,0.0064272548210099496
2014-02-21,Real Estate,0.003409544708565858
2014-02-21,Technology,0.0037442962483822907
